### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc"
"1",      "None",           0,        "A",   0.005
"2",      "BL_4KH",         0.5,      "B",   0.01 
"3",      "BL_8MM",         0.5,      "C",   0.02 
"4",      "BL_RA5",         0.5,      "D",   0.03 
"5",      "BL_7QH",         0.5,      "E",   0.06 
"6",      "BL_L5Q",         0.5,      "F",   0.10
"7",      "BL_273",         0.5,      "G",   0.20 
"8",      "BL_I82",         0.5,      "H",   0.50 
"9",      "BL_1CZ",         0.5,         ,         
"10",     "BL_P7H",         0.5,         ,         
"11",     "BL_TS6",         0.5,         ,         
"12",     "BL_2IS",         0.5,         ,         
