### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc"
"1",      "Blank",           0,        "A",   0.005
"2",      "BL_I07",         0.5,      "B",   0.01
"3",      "BL_RY5",         0.5,      "C",   0.02
"4",      "BL_9PZ",         0.5,      "D",   0.03
"5",      "BL_K44",         0.5,      "E",   0.06
"6",      "BL_ON3",         0.5,      "F",   0.10
"7",      "BL_N60",         0.5,      "G",   0.20
"8",      "BL_51A",         0.5,      "H",   0.50
"9",      "BL_5OP",         0.5,         ,       
"10",     "BL_9J3",         0.5,         ,       
"11",     "BL_N9S",         0.5,         ,       
"12",     "BL_CYO",         0.5,         ,       
