### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "Blank",           0,        "A",   0.005,    1,      1 
"2",      "BL_2MC",         0.5,      "B",   0.01,     20,      0.24
"3",      "BL_NUF",         0.5,      "C",   0.02,     63,      0.74
"4",      "BL_CNC",         0.5,      "D",   0.03,     111,      0.39
"5",      "BL_GW7",         0.5,      "E",   0.06,     131,      0.6
"6",      "BL_FUC",         0.5,      "F",   0.10,     199,      0.21
"7",      "BL_146",         0.5,      "G",   0.20,     108,      0.1
"8",      "BL_J37",         0.5,      "H",   0.50,     205,      0.78
"9",      "BL_3L3",         0.5,         ,       ,     193,      0.45
"10",     "BL_05Y",         0.5,         ,       ,     170,      0.78
"11",     "BL_Z8H",         0.5,         ,       ,     189,      0.53
"12",     "BL_O6N",         0.5,         ,       ,     211,      0.61
