### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "Blank",           0,        "A",   0.005,    1,      1 
"2",      "wt1",            0.5,      "B",   0.01,     100,    0.05 
"3",      "BL_A4W",         0.5,      "C",   0.02,     80,     0.15 
"4",      "BL_XQ6",         0.5,      "D",   0.03,     32,     0.05 
"5",      "BL_M43",         0.5,      "E",   0.06,     110,    0.25 
"6",      "BL_BON",         0.5,      "F",   0.10,     75,     0.02 
"7",      "BL_IDL",         0.5,      "G",   0.20,     100,    0.5 
"8",      "BL_QVI",         0.5,      "H",   0.50,     95,     0.35 
"9",      "BL_D6J",         0.5,         ,       ,     200,    0.03  
"10",     "BL_DRR",         0.5,         ,       ,     125,    0.13  
"11",     "BL_2UD",         0.5,         ,       ,     17,     0.05  
"12",     "BL_ROH",         0.5,         ,       ,     55,     0.04  
