### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "None",           0,        "A",   0.005,    1,      1 
"2",      "BL_74V",         0.5,      "B",   0.01,     77,      0.57
"3",      "BL_EU4",         0.5,      "C",   0.02,     104,      0.06
"4",      "BL_1FJ",         0.5,      "D",   0.03,     47,      0.67
"5",      "BL_7DD",         0.5,      "E",   0.06,     215,      0.08
"6",      "BL_06Q",         0.5,      "F",   0.10,     175,      0.55
"7",      "BL_HHN",         0.5,      "G",   0.20,     24,      0.42
"8",      "BL_N4Y",         0.5,      "H",   0.50,     176,      0.23
"9",      "BL_ILN",         0.5,         ,       ,     26,      0.19
"10",     "BL_KK7",         0.5,         ,       ,     52,      0.26
"11",     "BL_LSX",         0.5,         ,       ,     68,      0.25
"12",     "BL_AWA",         0.5,         ,       ,     136,      0.11
