### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "Blank",           0,        "A",   0.005,    1,      1 
"2",      "BL_I07",         0.5,      "B",   0.01,     197,      0.02
"3",      "BL_RY5",         0.5,      "C",   0.02,     179,      0.49
"4",      "BL_9PZ",         0.5,      "D",   0.03,     27,      0.17
"5",      "BL_K44",         0.5,      "E",   0.06,     54,      0.28
"6",      "BL_ON3",         0.5,      "F",   0.10,     196,      0.77
"7",      "BL_N60",         0.5,      "G",   0.20,     218,      0.29
"8",      "BL_51A",         0.5,      "H",   0.50,     222,      0.72
"9",      "BL_5OP",         0.5,         ,       ,     91,      0.75
"10",     "BL_9J3",         0.5,         ,       ,     189,      0.33
"11",     "BL_N9S",         0.5,         ,       ,     111,      0.22
"12",     "BL_CYO",         0.5,         ,       ,     65,      0.36
