### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "Blank",          0,        "A",   0.005,    100,    0.05 
"2",      "Blank",          0,        "B",   0.01,     100,    0.05 
"3",      "Blank",          0,        "C",   0.02,     100,    0.05 
"4",      "1.0 nM wt1",     1.0,      "D",   0.03,     100,    0.05 
"5",      "1.0 nM wt1",     1.0,      "E",   0.06,     100,    0.05 
"6",      "1.0 nM wt1",     1.0,      "F",   0.10,     100,    0.05 
"7",      "0.5 nM wt1",     0.5,      "G",   0.20,     100,    0.05 
"8",      "0.5 nM wt1",     0.5,      "H",   0.50,     100,    0.05 
"9",      "0.5 nM wt1",     0.5,         ,       ,     100,    0.05  
"10",     "0.25 nM wt1",    0.25,        ,       ,     100,    0.05  
"11",     "0.25 nM wt1",    0.25,        ,       ,     100,    0.05  
"12",     "0.25 nM wt1",    0.25,        ,       ,     100,    0.05  
