,time,abs
0,       0.5,  0.009754
1,    0.6667,   0.01459
2,    0.8333,   0.01563
3,         1,   0.01944
4,     1.167,   0.02186
5,     1.333,   0.02732
6,       1.5,    0.0288
7,     1.667,   0.03222
8,     1.833,   0.03427
9,         2,   0.03756
10,     2.167,   0.04485
11,     2.333,   0.04679
12,       2.5,   0.05134
13,     2.667,   0.05298
14,     2.833,   0.05512
15,         3,   0.06011
16,     3.167,    0.0612
17,     3.333,    0.0647
18,       3.5,   0.06867
19,     3.667,   0.07145
20,     3.833,    0.0742
21,         4,   0.07889
22,     4.167,   0.08253
23,     4.333,    0.0871
24,       4.5,   0.08867
25,     4.667,   0.09319
26,     4.833,   0.09495
27,         5,   0.09703
28,     5.167,    0.1014
29,     5.333,     0.104
30,       5.5,    0.1091
31,     5.667,    0.1119
32,     5.833,    0.1153
33,         6,    0.1184
34,     6.167,    0.1214
35,     6.333,    0.1238
36,       6.5,    0.1272
37,     6.667,    0.1302
38,     6.833,    0.1349
39,         7,    0.1354
40,     7.167,    0.1388
41,     7.333,    0.1426
42,       7.5,     0.147
43,     7.667,    0.1507
44,     7.833,    0.1529
45,         8,    0.1574
46,     8.167,    0.1601
47,     8.333,    0.1629
48,       8.5,     0.165
49,     8.667,    0.1697
50,     8.833,    0.1725
51,         9,    0.1747
52,     9.167,     0.177
53,     9.333,    0.1818
54,       9.5,    0.1863
55,     9.667,    0.1891
56,     9.833,    0.1926
57,        10,     0.196
58,     10.17,    0.1987
59,     10.33,    0.2009
60,      10.5,     0.202
61,     10.67,    0.2095
62,     10.83,    0.2117
63,        11,    0.2143
64,     11.17,    0.2184
65,     11.33,    0.2195
66,      11.5,    0.2228
67,     11.67,    0.2261
68,     11.83,    0.2305
69,        12,    0.2319
70,     12.17,    0.2367
71,     12.33,    0.2382
72,      12.5,    0.2431
73,     12.67,    0.2445
74,     12.83,    0.2494
75,        13,    0.2495
76,     13.17,    0.2563
77,     13.33,    0.2568
78,      13.5,    0.2611
79,     13.67,    0.2648
80,     13.83,    0.2707
81,        14,    0.2722
82,     14.17,    0.2722
83,     14.33,    0.2769
84,      14.5,     0.279
85,     14.67,    0.2815
86,     14.83,    0.2864
87,        15,    0.2931
88,     15.17,    0.2944
89,     15.33,    0.2976
90,      15.5,    0.3021
91,     15.67,    0.3021
92,     15.83,    0.3073
93,        16,    0.3103
94,     16.17,    0.3122
95,     16.33,    0.3139
96,      16.5,    0.3175
97,     16.67,     0.321
98,     16.83,    0.3252
99,        17,    0.3272
100,     17.17,    0.3299
101,     17.33,    0.3347
102,      17.5,    0.3358
103,     17.67,    0.3404
104,     17.83,     0.342
105,        18,    0.3475
106,     18.17,    0.3527
107,     18.33,    0.3553
108,      18.5,    0.3562
109,     18.67,    0.3591
110,     18.83,    0.3628
111,        19,    0.3629
112,     19.17,    0.3679
113,     19.33,    0.3735
114,      19.5,    0.3776
115,     19.67,    0.3796
116,     19.83,    0.3798
117,        20,     0.386
118,     20.17,    0.3883
119,     20.33,    0.3891
120,      20.5,    0.3954
121,     20.67,       0.4
122,     20.83,    0.4001
123,        21,     0.402
124,     21.17,    0.4033
125,     21.33,    0.4097
126,      21.5,    0.4146
127,     21.67,    0.4153
128,     21.83,    0.4185
129,        22,    0.4212
130,     22.17,    0.4253
131,     22.33,    0.4274
132,      22.5,    0.4279
133,     22.67,    0.4335
134,     22.83,    0.4376
135,        23,    0.4377
136,     23.17,    0.4453
137,     23.33,    0.4453
138,      23.5,    0.4489
139,     23.67,    0.4509
140,     23.83,    0.4576
141,        24,    0.4546
142,     24.17,    0.4606
143,     24.33,    0.4642
144,      24.5,     0.471
145,     24.67,    0.4738
146,     24.83,    0.4735
147,        25,    0.4764
148,     25.17,    0.4807
149,     25.33,    0.4863
150,      25.5,    0.4865
151,     25.67,    0.4879
152,     25.83,    0.4923
153,        26,    0.4957
154,     26.17,    0.4993
155,     26.33,    0.4998
156,      26.5,    0.5035
157,     26.67,    0.5111
