,time,abs
0,       0.5,   0.00571
1,    0.6667,  0.007579
2,    0.8333,  0.008254
3,         1,   0.01141
4,     1.167,   0.01334
5,     1.333,   0.01462
6,       1.5,   0.01663
7,     1.667,   0.01787
8,     1.833,   0.02098
9,         2,   0.02012
10,     2.167,   0.02354
11,     2.333,   0.02561
12,       2.5,   0.02646
13,     2.667,   0.02957
14,     2.833,   0.03008
15,         3,   0.03303
16,     3.167,   0.03393
17,     3.333,   0.03663
18,       3.5,   0.03886
19,     3.667,   0.04079
20,     3.833,   0.04057
21,         4,   0.04464
22,     4.167,   0.04569
23,     4.333,   0.04718
24,       4.5,    0.0496
25,     4.667,   0.05161
26,     4.833,   0.05158
27,         5,   0.05553
28,     5.167,   0.05722
29,     5.333,   0.05824
30,       5.5,   0.06024
31,     5.667,    0.0618
32,     5.833,    0.0633
33,         6,   0.06594
34,     6.167,   0.06462
35,     6.333,   0.06785
36,       6.5,   0.07118
37,     6.667,   0.07165
38,     6.833,   0.07345
39,         7,   0.07912
40,     7.167,     0.079
41,     7.333,   0.07956
42,       7.5,   0.08185
43,     7.667,   0.07935
44,     7.833,   0.08489
45,         8,   0.08625
46,     8.167,    0.0892
47,     8.333,   0.08776
48,       8.5,   0.09307
49,     8.667,   0.09537
50,     8.833,   0.09354
51,         9,   0.09541
52,     9.167,   0.09765
53,     9.333,   0.09897
54,       9.5,    0.1028
55,     9.667,     0.106
56,     9.833,    0.1044
57,        10,      0.11
58,     10.17,    0.1094
59,     10.33,    0.1108
60,      10.5,    0.1126
61,     10.67,    0.1152
62,     10.83,    0.1171
63,        11,    0.1191
64,     11.17,      0.12
65,     11.33,    0.1218
66,      11.5,    0.1226
67,     11.67,    0.1277
68,     11.83,    0.1262
69,        12,    0.1288
70,     12.17,    0.1322
71,     12.33,    0.1346
72,      12.5,    0.1318
73,     12.67,     0.137
74,     12.83,    0.1364
75,        13,    0.1394
76,     13.17,    0.1419
77,     13.33,    0.1448
78,      13.5,    0.1444
79,     13.67,    0.1454
80,     13.83,    0.1478
81,        14,    0.1482
82,     14.17,    0.1498
83,     14.33,    0.1543
84,      14.5,    0.1566
85,     14.67,    0.1528
86,     14.83,    0.1597
87,        15,    0.1601
88,     15.17,    0.1623
89,     15.33,    0.1631
90,      15.5,    0.1666
91,     15.67,     0.168
92,     15.83,    0.1683
93,        16,     0.171
94,     16.17,    0.1726
95,     16.33,     0.173
96,      16.5,    0.1735
97,     16.67,    0.1772
98,     16.83,    0.1792
99,        17,    0.1814
100,     17.17,    0.1855
101,     17.33,    0.1835
102,      17.5,    0.1844
103,     17.67,    0.1858
104,     17.83,    0.1882
105,        18,    0.1886
106,     18.17,    0.1918
107,     18.33,    0.1939
108,      18.5,    0.1966
109,     18.67,    0.1968
110,     18.83,    0.2003
111,        19,    0.1997
112,     19.17,     0.203
113,     19.33,    0.2043
