,time,abs
0,       0.5,  0.006633
1,    0.6667,  0.008549
2,    0.8333,   0.01093
3,         1,   0.01007
4,     1.167,   0.01262
5,     1.333,   0.01269
6,       1.5,   0.01842
7,     1.667,   0.01933
8,     1.833,   0.01998
9,         2,    0.0197
10,     2.167,   0.02287
11,     2.333,   0.02419
12,       2.5,   0.02577
13,     2.667,   0.02712
14,     2.833,   0.02955
15,         3,   0.03106
16,     3.167,   0.03436
17,     3.333,   0.03558
18,       3.5,    0.0353
19,     3.667,    0.0377
20,     3.833,   0.04166
21,         4,   0.04156
22,     4.167,   0.04539
23,     4.333,    0.0453
24,       4.5,   0.04659
25,     4.667,   0.04828
26,     4.833,    0.0502
27,         5,     0.054
28,     5.167,   0.05486
29,     5.333,    0.0587
30,       5.5,   0.05902
31,     5.667,   0.06028
32,     5.833,   0.06183
33,         6,   0.06419
34,     6.167,   0.06672
35,     6.333,   0.06571
36,       6.5,   0.07046
37,     6.667,   0.06889
38,     6.833,   0.07242
39,         7,   0.07632
40,     7.167,   0.07579
41,     7.333,   0.07859
42,       7.5,   0.07826
43,     7.667,   0.07894
44,     7.833,   0.08332
45,         8,   0.08543
46,     8.167,   0.08558
47,     8.333,   0.08949
48,       8.5,   0.08963
49,     8.667,   0.09146
50,     8.833,   0.09161
51,         9,   0.09603
52,     9.167,   0.09615
53,     9.333,   0.09991
54,       9.5,    0.1014
55,     9.667,    0.1027
56,     9.833,    0.1034
57,        10,    0.1035
58,     10.17,    0.1066
59,     10.33,    0.1072
60,      10.5,    0.1094
61,     10.67,    0.1131
62,     10.83,    0.1123
63,        11,    0.1152
64,     11.17,    0.1175
65,     11.33,    0.1194
66,      11.5,    0.1201
67,     11.67,    0.1217
68,     11.83,    0.1237
69,        12,    0.1255
70,     12.17,    0.1277
71,     12.33,     0.129
72,      12.5,    0.1312
73,     12.67,     0.132
74,     12.83,    0.1337
75,        13,    0.1375
76,     13.17,    0.1371
77,     13.33,    0.1403
78,      13.5,    0.1408
79,     13.67,    0.1439
80,     13.83,    0.1432
81,        14,    0.1475
82,     14.17,    0.1501
83,     14.33,    0.1504
84,      14.5,    0.1509
85,     14.67,    0.1544
86,     14.83,    0.1566
87,        15,    0.1601
88,     15.17,    0.1603
89,     15.33,    0.1595
90,      15.5,    0.1661
91,     15.67,    0.1646
92,     15.83,    0.1673
93,        16,    0.1663
94,     16.17,    0.1701
95,     16.33,    0.1743
96,      16.5,    0.1722
97,     16.67,    0.1737
98,     16.83,    0.1778
99,        17,    0.1793
100,     17.17,    0.1814
101,     17.33,    0.1822
102,      17.5,    0.1821
103,     17.67,    0.1879
104,     17.83,    0.1867
105,        18,    0.1895
106,     18.17,    0.1913
107,     18.33,    0.1923
108,      18.5,    0.1925
109,     18.67,    0.1954
110,     18.83,    0.1965
111,        19,    0.2008
112,     19.17,    0.2017
113,     19.33,    0.2046
114,      19.5,    0.2041
115,     19.67,    0.2073
116,     19.83,    0.2063
117,        20,    0.2109
118,     20.17,    0.2114
119,     20.33,     0.215
120,      20.5,    0.2136
121,     20.67,    0.2158
122,     20.83,    0.2196
123,        21,      0.22
124,     21.17,    0.2213
125,     21.33,    0.2246
126,      21.5,    0.2251
127,     21.67,    0.2267
128,     21.83,    0.2282
129,        22,    0.2306
130,     22.17,     0.233
131,     22.33,    0.2358
132,      22.5,    0.2367
133,     22.67,    0.2367
134,     22.83,    0.2378
135,        23,    0.2414
136,     23.17,    0.2445
137,     23.33,    0.2452
138,      23.5,    0.2454
139,     23.67,    0.2471
140,     23.83,    0.2478
141,        24,    0.2521
142,     24.17,    0.2538
143,     24.33,    0.2543
144,      24.5,    0.2569
145,     24.67,    0.2575
146,     24.83,    0.2578
147,        25,    0.2598
148,     25.17,    0.2616
149,     25.33,    0.2645
150,      25.5,     0.265
151,     25.67,    0.2689
152,     25.83,    0.2696
153,        26,    0.2728
154,     26.17,    0.2738
155,     26.33,    0.2763
156,      26.5,    0.2763
157,     26.67,    0.2771
158,     26.83,    0.2804
159,        27,    0.2802
160,     27.17,     0.283
161,     27.33,    0.2856
162,      27.5,    0.2873
163,     27.67,    0.2887
164,     27.83,    0.2899
165,        28,    0.2923
166,     28.17,    0.2935
167,     28.33,    0.2978
168,      28.5,    0.2962
169,     28.67,    0.2997
170,     28.83,    0.3008
171,        29,    0.3016
172,     29.17,    0.3057
173,     29.33,    0.3075
174,      29.5,    0.3082
175,     29.67,    0.3088
176,     29.83,     0.311
177,        30,     0.314
178,     30.17,    0.3131
179,     30.33,    0.3166
180,      30.5,    0.3179
181,     30.67,    0.3204
182,     30.83,    0.3202
183,        31,    0.3221
184,     31.17,    0.3224
185,     31.33,    0.3248
186,      31.5,    0.3286
187,     31.67,    0.3289
188,     31.83,    0.3317
189,        32,    0.3308
190,     32.17,    0.3349
191,     32.33,    0.3336
192,      32.5,    0.3399
193,     32.67,    0.3396
194,     32.83,    0.3393
195,        33,    0.3434
196,     33.17,    0.3463
197,     33.33,     0.348
198,      33.5,    0.3497
199,     33.67,    0.3484
200,     33.83,    0.3512
201,        34,    0.3533
202,     34.17,    0.3542
203,     34.33,    0.3549
204,      34.5,    0.3595
205,     34.67,    0.3602
206,     34.83,    0.3622
207,        35,    0.3609
208,     35.17,    0.3648
209,     35.33,    0.3663
210,      35.5,    0.3685
211,     35.67,    0.3722
212,     35.83,    0.3706
213,        36,    0.3727
214,     36.17,    0.3729
215,     36.33,    0.3783
216,      36.5,    0.3798
217,     36.67,      0.38
218,     36.83,    0.3818
219,        37,    0.3817
220,     37.17,    0.3871
221,     37.33,    0.3875
222,      37.5,     0.389
223,     37.67,    0.3895
224,     37.83,     0.392
225,        38,    0.3934
226,     38.17,    0.3936
227,     38.33,    0.3965
228,      38.5,    0.3985
229,     38.67,    0.4019
230,     38.83,    0.3989
231,        39,    0.4027
232,     39.17,     0.407
233,     39.33,    0.4062
234,      39.5,    0.4074
235,     39.67,    0.4085
236,     39.83,    0.4116
237,        40,    0.4152
238,     40.17,     0.415
239,     40.33,    0.4169
240,      40.5,     0.418
241,     40.67,    0.4199
242,     40.83,    0.4224
243,        41,    0.4249
244,     41.17,    0.4256
245,     41.33,    0.4273
246,      41.5,    0.4274
247,     41.67,    0.4308
248,     41.83,    0.4316
249,        42,    0.4302
250,     42.17,    0.4374
251,     42.33,     0.435
252,      42.5,      0.44
253,     42.67,    0.4409
254,     42.83,    0.4402
255,        43,    0.4443
256,     43.17,     0.448
257,     43.33,    0.4435
258,      43.5,    0.4469
259,     43.67,    0.4522
260,     43.83,    0.4518
261,        44,    0.4556
