,time,abs
0,       0.5,  0.007721
1,    0.6667,   0.01099
2,    0.8333,  0.009728
3,         1,   0.01494
4,     1.167,   0.01638
5,     1.333,   0.02085
6,       1.5,   0.02091
7,     1.667,   0.02593
8,     1.833,   0.02647
9,         2,   0.02795
10,     2.167,   0.03426
11,     2.333,   0.03662
12,       2.5,   0.03722
13,     2.667,   0.03945
14,     2.833,   0.04461
15,         3,   0.04388
16,     3.167,   0.04519
17,     3.333,   0.04771
18,       3.5,   0.05101
19,     3.667,    0.0538
20,     3.833,   0.05357
21,         4,   0.05617
22,     4.167,   0.06086
23,     4.333,   0.06279
24,       4.5,   0.06568
25,     4.667,   0.06828
26,     4.833,   0.07143
27,         5,    0.0736
28,     5.167,   0.07705
29,     5.333,   0.07942
30,       5.5,   0.08302
31,     5.667,   0.08223
32,     5.833,    0.0881
33,         6,   0.08932
34,     6.167,   0.09136
35,     6.333,   0.09528
36,       6.5,   0.09355
37,     6.667,   0.09798
38,     6.833,    0.1012
39,         7,    0.1022
40,     7.167,    0.1048
41,     7.333,    0.1092
42,       7.5,    0.1131
43,     7.667,    0.1128
44,     7.833,    0.1158
45,         8,    0.1173
46,     8.167,    0.1208
47,     8.333,    0.1205
48,       8.5,    0.1253
49,     8.667,    0.1275
50,     8.833,      0.13
51,         9,    0.1306
52,     9.167,    0.1343
53,     9.333,    0.1365
54,       9.5,    0.1402
55,     9.667,    0.1427
56,     9.833,    0.1427
57,        10,    0.1485
58,     10.17,    0.1483
59,     10.33,    0.1527
60,      10.5,     0.156
61,     10.67,    0.1561
62,     10.83,     0.159
63,        11,      0.16
64,     11.17,    0.1621
65,     11.33,    0.1653
66,      11.5,    0.1709
67,     11.67,     0.173
68,     11.83,    0.1734
69,        12,    0.1725
70,     12.17,    0.1791
71,     12.33,    0.1808
72,      12.5,    0.1846
73,     12.67,    0.1876
74,     12.83,    0.1877
75,        13,    0.1915
76,     13.17,     0.194
77,     13.33,     0.199
78,      13.5,    0.1993
79,     13.67,    0.1986
80,     13.83,    0.2015
81,        14,    0.2052
82,     14.17,    0.2076
83,     14.33,    0.2111
84,      14.5,    0.2139
85,     14.67,    0.2138
86,     14.83,    0.2178
87,        15,    0.2176
88,     15.17,    0.2236
89,     15.33,     0.225
90,      15.5,    0.2245
91,     15.67,    0.2311
92,     15.83,    0.2324
93,        16,    0.2338
94,     16.17,    0.2384
95,     16.33,    0.2376
96,      16.5,    0.2436
97,     16.67,    0.2435
98,     16.83,     0.247
99,        17,    0.2492
100,     17.17,     0.252
101,     17.33,    0.2531
102,      17.5,    0.2565
103,     17.67,    0.2574
104,     17.83,    0.2602
105,        18,    0.2627
106,     18.17,    0.2658
107,     18.33,    0.2684
108,      18.5,    0.2711
109,     18.67,    0.2697
110,     18.83,    0.2757
111,        19,    0.2809
112,     19.17,    0.2822
113,     19.33,    0.2822
114,      19.5,    0.2823
115,     19.67,    0.2868
116,     19.83,    0.2918
117,        20,    0.2946
118,     20.17,    0.2935
119,     20.33,    0.2949
120,      20.5,     0.299
121,     20.67,    0.3018
122,     20.83,    0.3018
123,        21,    0.3066
124,     21.17,    0.3067
125,     21.33,    0.3094
126,      21.5,    0.3154
127,     21.67,    0.3151
128,     21.83,     0.317
129,        22,    0.3184
130,     22.17,    0.3216
131,     22.33,    0.3264
132,      22.5,    0.3298
133,     22.67,    0.3307
134,     22.83,    0.3333
135,        23,    0.3353
136,     23.17,    0.3349
137,     23.33,      0.34
138,      23.5,    0.3438
139,     23.67,    0.3435
140,     23.83,    0.3448
141,        24,    0.3513
142,     24.17,    0.3519
143,     24.33,    0.3558
144,      24.5,    0.3575
145,     24.67,      0.36
146,     24.83,    0.3607
147,        25,    0.3643
148,     25.17,    0.3649
149,     25.33,    0.3681
150,      25.5,    0.3704
151,     25.67,    0.3729
152,     25.83,    0.3764
153,        26,    0.3749
154,     26.17,    0.3776
155,     26.33,    0.3837
156,      26.5,    0.3845
157,     26.67,    0.3883
158,     26.83,    0.3898
159,        27,    0.3921
160,     27.17,     0.395
161,     27.33,    0.3968
162,      27.5,    0.3983
163,     27.67,    0.4011
164,     27.83,    0.4049
165,        28,    0.4062
166,     28.17,    0.4088
167,     28.33,    0.4106
168,      28.5,    0.4155
169,     28.67,    0.4162
170,     28.83,    0.4154
171,        29,    0.4189
172,     29.17,    0.4253
173,     29.33,    0.4248
174,      29.5,    0.4301
175,     29.67,    0.4295
176,     29.83,    0.4339
177,        30,    0.4334
178,     30.17,    0.4408
179,     30.33,     0.436
180,      30.5,    0.4452
181,     30.67,    0.4416
182,     30.83,    0.4432
183,        31,     0.451
184,     31.17,    0.4493
185,     31.33,    0.4503
186,      31.5,    0.4549
187,     31.67,    0.4596
188,     31.83,    0.4596
189,        32,    0.4615
190,     32.17,    0.4651
191,     32.33,     0.464
192,      32.5,    0.4716
193,     32.67,    0.4729
194,     32.83,    0.4788
195,        33,    0.4735
196,     33.17,    0.4807
197,     33.33,    0.4828
198,      33.5,    0.4826
199,     33.67,    0.4893
200,     33.83,    0.4914
201,        34,    0.4903
202,     34.17,    0.4934
203,     34.33,    0.4971
204,      34.5,    0.4955
205,     34.67,    0.5006
206,     34.83,    0.5024
207,        35,    0.5064
208,     35.17,    0.5068
209,     35.33,    0.5092
210,      35.5,    0.5116
211,     35.67,    0.5146
212,     35.83,    0.5191
213,        36,    0.5213
214,     36.17,    0.5195
215,     36.33,    0.5232
216,      36.5,    0.5278
217,     36.67,    0.5264
218,     36.83,     0.531
219,        37,    0.5299
220,     37.17,    0.5317
221,     37.33,    0.5383
222,      37.5,    0.5428
223,     37.67,    0.5393
224,     37.83,    0.5461
225,        38,    0.5431
226,     38.17,    0.5502
227,     38.33,    0.5543
228,      38.5,    0.5532
229,     38.67,    0.5569
230,     38.83,    0.5556
231,        39,    0.5618
232,     39.17,    0.5641
233,     39.33,    0.5612
234,      39.5,    0.5665
235,     39.67,    0.5712
236,     39.83,    0.5737
237,        40,    0.5744
238,     40.17,    0.5788
239,     40.33,    0.5809
240,      40.5,    0.5817
241,     40.67,    0.5826
242,     40.83,     0.586
243,        41,    0.5928
244,     41.17,    0.5938
245,     41.33,    0.5937
246,      41.5,    0.5955
247,     41.67,    0.6001
248,     41.83,    0.5976
249,        42,    0.6014
250,     42.17,    0.6048
251,     42.33,    0.6093
252,      42.5,     0.606
253,     42.67,    0.6126
254,     42.83,    0.6113
255,        43,    0.6142
256,     43.17,    0.6195
257,     43.33,      0.62
258,      43.5,    0.6226
259,     43.67,    0.6226
260,     43.83,    0.6289
261,        44,    0.6306
262,     44.17,    0.6326
263,     44.33,    0.6384
264,      44.5,    0.6411
265,     44.67,    0.6383
266,     44.83,    0.6386
267,        45,    0.6443
268,     45.17,    0.6464
269,     45.33,    0.6493
270,      45.5,    0.6512
271,     45.67,    0.6542
272,     45.83,    0.6522
273,        46,     0.658
274,     46.17,    0.6587
275,     46.33,    0.6623
276,      46.5,    0.6637
277,     46.67,    0.6639
278,     46.83,    0.6685
279,        47,    0.6708
280,     47.17,     0.677
281,     47.33,    0.6769
282,      47.5,    0.6777
283,     47.67,    0.6789
284,     47.83,    0.6843
285,        48,    0.6839
286,     48.17,    0.6928
287,     48.33,      0.69
288,      48.5,    0.6931
289,     48.67,    0.6932
290,     48.83,     0.693
291,        49,    0.6978
292,     49.17,    0.7019
293,     49.33,    0.7001
294,      49.5,    0.7081
295,     49.67,     0.709
296,     49.83,    0.7124
297,        50,    0.7112
298,     50.17,    0.7111
299,     50.33,     0.715
300,      50.5,    0.7162
301,     50.67,    0.7213
302,     50.83,    0.7235
303,        51,    0.7274
304,     51.17,     0.727
305,     51.33,    0.7303
306,      51.5,    0.7261
307,     51.67,    0.7361
308,     51.83,    0.7387
309,        52,    0.7365
310,     52.17,    0.7457
311,     52.33,    0.7406
312,      52.5,    0.7412
313,     52.67,    0.7485
314,     52.83,    0.7464
315,        53,    0.7516
316,     53.17,    0.7541
317,     53.33,    0.7547
318,      53.5,    0.7636
319,     53.67,    0.7629
320,     53.83,     0.761
321,        54,    0.7689
322,     54.17,    0.7711
323,     54.33,    0.7704
324,      54.5,    0.7719
325,     54.67,    0.7761
326,     54.83,    0.7776
327,        55,    0.7745
328,     55.17,      0.78
329,     55.33,    0.7838
330,      55.5,    0.7858
