,time,abs
0,       0.5,  0.009379
1,    0.6667,  0.009751
2,    0.8333,   0.01449
3,         1,   0.01579
4,     1.167,   0.01904
5,     1.333,   0.02183
6,       1.5,    0.0249
7,     1.667,   0.02639
8,     1.833,    0.0303
9,         2,   0.03065
10,     2.167,   0.03643
11,     2.333,   0.03592
12,       2.5,   0.03896
13,     2.667,   0.04136
14,     2.833,   0.04485
15,         3,   0.04783
16,     3.167,   0.04974
17,     3.333,   0.05228
18,       3.5,   0.05515
19,     3.667,   0.05958
20,     3.833,   0.06034
21,         4,   0.06538
22,     4.167,   0.06478
23,     4.333,   0.06948
24,       4.5,   0.07166
25,     4.667,   0.07431
26,     4.833,   0.07628
27,         5,   0.07658
28,     5.167,   0.08138
29,     5.333,   0.08514
30,       5.5,   0.08616
31,     5.667,    0.0881
32,     5.833,   0.09202
33,         6,   0.09396
34,     6.167,    0.1004
35,     6.333,    0.1004
36,       6.5,    0.1061
37,     6.667,    0.1053
38,     6.833,    0.1081
39,         7,    0.1147
40,     7.167,    0.1149
41,     7.333,    0.1167
42,       7.5,    0.1189
43,     7.667,    0.1228
44,     7.833,    0.1262
45,         8,    0.1269
46,     8.167,    0.1271
47,     8.333,    0.1319
48,       8.5,    0.1341
49,     8.667,    0.1368
50,     8.833,    0.1396
51,         9,    0.1419
52,     9.167,    0.1459
53,     9.333,    0.1469
54,       9.5,    0.1507
55,     9.667,    0.1536
56,     9.833,    0.1573
57,        10,    0.1605
58,     10.17,    0.1606
59,     10.33,    0.1639
60,      10.5,    0.1662
61,     10.67,    0.1702
62,     10.83,     0.173
63,        11,    0.1754
64,     11.17,    0.1773
65,     11.33,    0.1808
66,      11.5,    0.1823
67,     11.67,    0.1855
68,     11.83,    0.1852
69,        12,    0.1906
70,     12.17,    0.1919
71,     12.33,    0.1967
72,      12.5,    0.1993
73,     12.67,    0.2032
74,     12.83,    0.2036
75,        13,    0.2068
76,     13.17,    0.2097
77,     13.33,    0.2119
78,      13.5,    0.2135
79,     13.67,    0.2177
80,     13.83,    0.2205
81,        14,    0.2235
