,time,abs
0,       0.5,  0.008907
1,    0.6667,   0.01364
2,    0.8333,   0.01576
3,         1,   0.01877
4,     1.167,    0.0212
5,     1.333,   0.02598
6,       1.5,   0.02927
7,     1.667,   0.02963
8,     1.833,   0.03298
9,         2,   0.03771
10,     2.167,   0.04044
11,     2.333,   0.04445
12,       2.5,   0.04732
13,     2.667,   0.05032
14,     2.833,   0.05179
15,         3,   0.05522
16,     3.167,   0.05808
17,     3.333,   0.06309
18,       3.5,   0.06546
19,     3.667,   0.06875
20,     3.833,    0.0713
21,         4,   0.07377
22,     4.167,   0.07669
23,     4.333,   0.07962
24,       4.5,   0.08363
25,     4.667,    0.0865
26,     4.833,    0.0889
27,         5,   0.09091
28,     5.167,   0.09606
29,     5.333,    0.1012
30,       5.5,    0.1016
31,     5.667,     0.103
32,     5.833,    0.1079
33,         6,    0.1111
34,     6.167,     0.116
35,     6.333,    0.1169
36,       6.5,    0.1196
37,     6.667,    0.1226
38,     6.833,    0.1255
39,         7,    0.1286
40,     7.167,    0.1313
41,     7.333,    0.1338
42,       7.5,    0.1359
43,     7.667,    0.1417
44,     7.833,    0.1433
45,         8,     0.148
46,     8.167,    0.1498
47,     8.333,    0.1539
48,       8.5,    0.1558
49,     8.667,    0.1583
50,     8.833,    0.1638
51,         9,    0.1644
52,     9.167,    0.1689
53,     9.333,    0.1715
54,       9.5,    0.1714
55,     9.667,     0.176
56,     9.833,     0.181
57,        10,    0.1833
58,     10.17,    0.1826
59,     10.33,    0.1868
60,      10.5,     0.191
61,     10.67,    0.1943
62,     10.83,    0.1978
63,        11,    0.2004
64,     11.17,    0.2017
65,     11.33,     0.207
66,      11.5,     0.209
67,     11.67,    0.2116
68,     11.83,    0.2158
69,        12,    0.2183
70,     12.17,    0.2214
71,     12.33,    0.2234
72,      12.5,    0.2262
73,     12.67,    0.2284
74,     12.83,    0.2328
75,        13,    0.2354
76,     13.17,    0.2383
77,     13.33,    0.2403
78,      13.5,    0.2437
79,     13.67,    0.2462
80,     13.83,    0.2497
81,        14,    0.2516
82,     14.17,    0.2534
83,     14.33,    0.2572
84,      14.5,      0.26
85,     14.67,     0.265
86,     14.83,    0.2665
87,        15,    0.2721
88,     15.17,    0.2697
89,     15.33,    0.2764
90,      15.5,    0.2766
91,     15.67,    0.2798
92,     15.83,    0.2821
93,        16,    0.2849
94,     16.17,    0.2873
95,     16.33,    0.2925
96,      16.5,    0.2931
97,     16.67,    0.2977
98,     16.83,    0.3006
99,        17,    0.3009
100,     17.17,    0.3043
101,     17.33,    0.3078
102,      17.5,    0.3106
103,     17.67,    0.3126
104,     17.83,    0.3174
105,        18,    0.3183
106,     18.17,    0.3237
107,     18.33,    0.3259
108,      18.5,    0.3287
109,     18.67,    0.3312
110,     18.83,    0.3317
111,        19,    0.3377
112,     19.17,    0.3354
113,     19.33,    0.3393
114,      19.5,     0.347
115,     19.67,    0.3492
116,     19.83,    0.3491
117,        20,    0.3509
118,     20.17,    0.3534
119,     20.33,    0.3592
120,      20.5,    0.3616
121,     20.67,    0.3642
122,     20.83,    0.3647
123,        21,     0.368
124,     21.17,      0.37
125,     21.33,    0.3743
126,      21.5,    0.3752
127,     21.67,    0.3783
128,     21.83,    0.3803
129,        22,    0.3829
130,     22.17,    0.3865
131,     22.33,    0.3896
132,      22.5,    0.3913
133,     22.67,    0.3928
134,     22.83,    0.3968
135,        23,     0.399
136,     23.17,    0.4044
137,     23.33,    0.4056
138,      23.5,    0.4074
139,     23.67,    0.4128
140,     23.83,    0.4141
141,        24,    0.4148
142,     24.17,    0.4183
143,     24.33,    0.4229
144,      24.5,    0.4263
145,     24.67,    0.4277
146,     24.83,    0.4294
147,        25,    0.4347
148,     25.17,    0.4335
149,     25.33,    0.4391
150,      25.5,    0.4408
151,     25.67,    0.4419
152,     25.83,    0.4431
153,        26,    0.4455
154,     26.17,    0.4517
155,     26.33,    0.4516
156,      26.5,    0.4553
157,     26.67,    0.4578
158,     26.83,    0.4605
159,        27,    0.4644
160,     27.17,    0.4643
161,     27.33,    0.4696
162,      27.5,    0.4693
163,     27.67,    0.4736
164,     27.83,    0.4746
165,        28,    0.4805
166,     28.17,    0.4811
167,     28.33,    0.4855
168,      28.5,    0.4841
169,     28.67,    0.4914
170,     28.83,    0.4933
171,        29,    0.4926
172,     29.17,     0.499
173,     29.33,    0.5016
174,      29.5,    0.5023
175,     29.67,    0.5048
176,     29.83,    0.5076
177,        30,    0.5073
178,     30.17,    0.5085
179,     30.33,    0.5147
180,      30.5,     0.518
181,     30.67,    0.5192
182,     30.83,    0.5212
183,        31,    0.5251
184,     31.17,    0.5292
185,     31.33,    0.5303
186,      31.5,    0.5315
187,     31.67,    0.5337
188,     31.83,    0.5354
189,        32,    0.5379
190,     32.17,    0.5424
191,     32.33,    0.5441
192,      32.5,    0.5443
193,     32.67,    0.5509
194,     32.83,    0.5505
195,        33,    0.5492
196,     33.17,    0.5543
197,     33.33,    0.5585
198,      33.5,    0.5624
199,     33.67,    0.5621
200,     33.83,    0.5675
201,        34,    0.5663
202,     34.17,    0.5696
203,     34.33,    0.5749
204,      34.5,    0.5771
205,     34.67,    0.5757
206,     34.83,    0.5812
207,        35,    0.5838
208,     35.17,    0.5839
209,     35.33,    0.5884
210,      35.5,    0.5896
211,     35.67,    0.5944
212,     35.83,    0.5947
213,        36,     0.597
214,     36.17,    0.6001
215,     36.33,    0.6012
216,      36.5,    0.6042
217,     36.67,    0.6104
218,     36.83,     0.609
219,        37,    0.6146
220,     37.17,    0.6134
221,     37.33,    0.6172
222,      37.5,    0.6171
223,     37.67,     0.623
224,     37.83,    0.6246
225,        38,    0.6285
226,     38.17,    0.6317
227,     38.33,    0.6348
228,      38.5,    0.6337
229,     38.67,    0.6334
230,     38.83,    0.6368
231,        39,    0.6435
232,     39.17,    0.6439
233,     39.33,    0.6428
234,      39.5,    0.6447
235,     39.67,    0.6505
236,     39.83,    0.6511
237,        40,    0.6571
238,     40.17,    0.6558
239,     40.33,    0.6601
240,      40.5,      0.66
241,     40.67,     0.659
242,     40.83,    0.6655
243,        41,    0.6695
244,     41.17,    0.6703
245,     41.33,    0.6732
246,      41.5,    0.6793
247,     41.67,    0.6754
248,     41.83,    0.6782
249,        42,    0.6843
250,     42.17,    0.6847
251,     42.33,    0.6859
252,      42.5,    0.6875
253,     42.67,    0.6901
254,     42.83,    0.6948
255,        43,    0.6952
256,     43.17,    0.6979
257,     43.33,    0.6992
258,      43.5,    0.7052
259,     43.67,     0.707
260,     43.83,      0.71
261,        44,    0.7126
262,     44.17,    0.7079
263,     44.33,    0.7141
264,      44.5,    0.7109
265,     44.67,    0.7213
266,     44.83,    0.7202
267,        45,    0.7174
268,     45.17,    0.7272
269,     45.33,    0.7243
270,      45.5,    0.7239
271,     45.67,    0.7287
272,     45.83,    0.7311
273,        46,    0.7361
274,     46.17,    0.7402
275,     46.33,    0.7387
276,      46.5,    0.7419
277,     46.67,    0.7415
278,     46.83,     0.748
279,        47,    0.7489
280,     47.17,    0.7496
281,     47.33,    0.7502
282,      47.5,    0.7542
283,     47.67,     0.757
284,     47.83,     0.756
285,        48,    0.7668
286,     48.17,    0.7617
287,     48.33,     0.765
288,      48.5,    0.7653
289,     48.67,    0.7679
290,     48.83,    0.7683
291,        49,    0.7731
292,     49.17,    0.7723
293,     49.33,    0.7787
294,      49.5,    0.7808
295,     49.67,    0.7777
296,     49.83,    0.7872
297,        50,    0.7839
298,     50.17,    0.7863
299,     50.33,    0.7907
300,      50.5,    0.7922
301,     50.67,    0.7966
302,     50.83,    0.7943
303,        51,    0.8028
304,     51.17,    0.8019
305,     51.33,    0.7972
306,      51.5,     0.806
307,     51.67,    0.8128
308,     51.83,    0.8099
309,        52,    0.8126
310,     52.17,    0.8176
311,     52.33,    0.8141
312,      52.5,    0.8187
313,     52.67,    0.8224
314,     52.83,    0.8179
315,        53,    0.8177
316,     53.17,    0.8237
317,     53.33,    0.8265
318,      53.5,    0.8273
319,     53.67,    0.8363
320,     53.83,    0.8354
321,        54,    0.8317
322,     54.17,    0.8403
323,     54.33,    0.8432
324,      54.5,    0.8351
325,     54.67,    0.8462
326,     54.83,    0.8434
327,        55,    0.8485
328,     55.17,     0.856
329,     55.33,    0.8541
330,      55.5,    0.8556
331,     55.67,    0.8534
332,     55.83,    0.8577
333,        56,    0.8635
334,     56.17,    0.8622
335,     56.33,    0.8603
336,      56.5,     0.862
337,     56.67,    0.8653
338,     56.83,    0.8759
339,        57,    0.8749
340,     57.17,    0.8746
341,     57.33,    0.8739
342,      57.5,    0.8802
343,     57.67,    0.8799
344,     57.83,    0.8802
345,        58,    0.8818
346,     58.17,    0.8848
347,     58.33,    0.8856
348,      58.5,    0.8926
349,     58.67,    0.8839
350,     58.83,    0.8938
351,        59,    0.8943
352,     59.17,    0.9008
353,     59.33,    0.8975
354,      59.5,    0.9098
355,     59.67,    0.8983
356,     59.83,    0.9109
357,        60,    0.9078
