,time,abs
0,       0.5,  0.008486
1,    0.6667,   0.01593
2,    0.8333,   0.01729
3,         1,   0.01851
4,     1.167,    0.0214
5,     1.333,   0.02615
6,       1.5,   0.02961
7,     1.667,   0.03316
8,     1.833,    0.0365
9,         2,   0.04089
10,     2.167,   0.04284
11,     2.333,   0.04908
12,       2.5,   0.04943
13,     2.667,   0.05334
14,     2.833,   0.05619
15,         3,    0.0609
16,     3.167,   0.06298
17,     3.333,   0.06419
18,       3.5,   0.07143
19,     3.667,   0.07281
20,     3.833,   0.07487
21,         4,   0.08022
22,     4.167,   0.08341
23,     4.333,   0.08463
24,       4.5,   0.08983
25,     4.667,   0.09271
26,     4.833,   0.09469
27,         5,   0.09889
28,     5.167,    0.1029
29,     5.333,    0.1061
30,       5.5,    0.1102
31,     5.667,    0.1123
32,     5.833,    0.1156
33,         6,    0.1189
34,     6.167,    0.1221
35,     6.333,    0.1247
36,       6.5,    0.1286
37,     6.667,    0.1315
38,     6.833,    0.1341
39,         7,    0.1366
40,     7.167,    0.1418
41,     7.333,    0.1453
42,       7.5,    0.1482
43,     7.667,    0.1516
44,     7.833,    0.1538
45,         8,    0.1585
46,     8.167,    0.1614
47,     8.333,     0.164
48,       8.5,    0.1671
49,     8.667,    0.1705
50,     8.833,    0.1735
51,         9,    0.1762
52,     9.167,    0.1812
53,     9.333,    0.1815
54,       9.5,    0.1863
55,     9.667,    0.1899
56,     9.833,    0.1925
57,        10,    0.1937
58,     10.17,    0.1972
59,     10.33,    0.2001
60,      10.5,    0.2036
61,     10.67,    0.2088
62,     10.83,    0.2104
63,        11,    0.2134
64,     11.17,    0.2163
65,     11.33,    0.2201
66,      11.5,    0.2252
67,     11.67,    0.2242
68,     11.83,    0.2296
69,        12,    0.2302
70,     12.17,    0.2351
71,     12.33,    0.2387
72,      12.5,    0.2431
73,     12.67,    0.2438
74,     12.83,    0.2474
75,        13,    0.2497
76,     13.17,    0.2555
77,     13.33,    0.2562
78,      13.5,    0.2597
79,     13.67,    0.2652
80,     13.83,    0.2659
81,        14,    0.2689
82,     14.17,    0.2723
83,     14.33,    0.2755
84,      14.5,    0.2783
85,     14.67,    0.2806
86,     14.83,    0.2852
87,        15,    0.2879
88,     15.17,    0.2923
89,     15.33,    0.2948
90,      15.5,    0.2991
91,     15.67,    0.2977
92,     15.83,    0.3042
93,        16,    0.3052
94,     16.17,    0.3065
95,     16.33,    0.3126
96,      16.5,    0.3133
97,     16.67,    0.3148
98,     16.83,    0.3227
99,        17,    0.3222
100,     17.17,    0.3299
101,     17.33,    0.3291
102,      17.5,    0.3337
103,     17.67,    0.3333
104,     17.83,    0.3359
105,        18,    0.3423
106,     18.17,    0.3438
107,     18.33,    0.3478
108,      18.5,    0.3504
109,     18.67,      0.35
110,     18.83,    0.3568
