Simulation Results from reaction file: /Users/blink/Documents/Teaching/ Coursework_2025-2026/Chem_3530_2026/Kinetiscope/MM1.rxn
The simulation was run on Saturday, 7 February 2026 15:13:21 AST
This table was created on Saturday, 7 February 2026 15:14:20 AST
--------------------------------------

           Data           Time              E             ES              P              S              
          Point            sec     mole/liter     mole/liter     mole/liter     mole/liter              
              
              1              0    1.00001e-06              0              0            0.1              
              2     0.11075823    2.00002e-07    8.00008e-07  9.8500985e-05    0.099900699              
              3     0.22143256              0    1.00001e-06  0.00019880199    0.099800198              
              4     0.33174377              0    1.00001e-06  0.00030620306    0.099692797              
              5      0.4414748              0    1.00001e-06  0.00040940409    0.099589596              
              6     0.55118034    2.00002e-07    8.00008e-07   0.0005097051    0.099489495              
              7     0.66222624              0    1.00001e-06  0.00061260613    0.099386394              
              8     0.77244643              0    1.00001e-06  0.00071750718    0.099281493              
              9     0.88325225    2.00002e-07    8.00008e-07  0.00081900819    0.099180192              
             10     0.99372539    2.00002e-07    8.00008e-07   0.0009198092    0.099079391              
             11       1.103931    2.00002e-07    8.00008e-07   0.0010196102     0.09897959              
             12      1.2148812              0    1.00001e-06   0.0011277113    0.098871289              
             13      1.3255354    2.00002e-07    8.00008e-07   0.0012285123    0.098770688              
             14      1.4361255    2.00002e-07    8.00008e-07   0.0013317133    0.098667487              
             15       1.546792    2.00002e-07    8.00008e-07   0.0014346143    0.098564586              
             16      1.6571653    2.00002e-07    8.00008e-07   0.0015392154    0.098459985              
             17      1.7677947    2.00002e-07    8.00008e-07   0.0016375164    0.098361684              
             18      1.8779903              0    1.00001e-06   0.0017399174    0.098259083              
             19       1.988548    2.00002e-07    8.00008e-07   0.0018435184    0.098155682              
             20      2.0993249              0    1.00001e-06   0.0019394194    0.098059581              
             21       2.209615              0    1.00001e-06   0.0020452205     0.09795378              
             22      2.3202282    4.00004e-07    6.00006e-07   0.0021482215    0.097851179              
             23      2.4303396    2.00002e-07    8.00008e-07   0.0022527225    0.097746477              
             24       2.541152    2.00002e-07    8.00008e-07   0.0023487235    0.097650476              
             25      2.6522277              0    1.00001e-06   0.0024465245    0.097552476              
             26       2.762849    2.00002e-07    8.00008e-07   0.0025470255    0.097452175              
             27      2.8739565    2.00002e-07    8.00008e-07   0.0026515265    0.097347673              
             28      2.9842074              0    1.00001e-06   0.0027536275    0.097245372              
             29      3.0949746    2.00002e-07    8.00008e-07   0.0028523285    0.097146871              
             30      3.2064208    2.00002e-07    8.00008e-07   0.0029505295     0.09704867              
             31      3.3168137    2.00002e-07    8.00008e-07   0.0030559306    0.096943269              
             32      3.4279191    2.00002e-07    8.00008e-07   0.0031576316    0.096841568              
             33      3.5383254              0    1.00001e-06   0.0032609326    0.096738067              
             34      3.6489829              0    1.00001e-06   0.0033625336    0.096636466              
             35      3.7601476    4.00004e-07    6.00006e-07   0.0034616346    0.096537765              
             36      3.8704282    2.00002e-07    8.00008e-07   0.0035579356    0.096441264              
             37      3.9809325              0    1.00001e-06   0.0036542365    0.096344763              
             38      4.0910543    2.00002e-07    8.00008e-07   0.0037450375    0.096254163              
             39      4.2016851              0    1.00001e-06   0.0038461385    0.096152862              
             40      4.3121118    2.00002e-07    8.00008e-07   0.0039479395    0.096051261              
             41      4.4226858    2.00002e-07    8.00008e-07   0.0040517405    0.095947459              
             42      4.5329257    2.00002e-07    8.00008e-07   0.0041565416    0.095842658              
             43      4.6441989              0    1.00001e-06   0.0042548425    0.095744157              
             44      4.7550754              0    1.00001e-06   0.0043558436    0.095643156              
             45      4.8659059              0    1.00001e-06   0.0044598446    0.095539155              
             46      4.9777041    2.00002e-07    8.00008e-07   0.0045628456    0.095436354              
             47      5.0886232    2.00002e-07    8.00008e-07   0.0046665467    0.095332653              
             48      5.1990207    2.00002e-07    8.00008e-07   0.0047637476    0.095235452              
             49       5.310214    2.00002e-07    8.00008e-07   0.0048629486    0.095136251              
             50       5.420716    2.00002e-07    8.00008e-07   0.0049626496     0.09503655              
             51      5.5312422    2.00002e-07    8.00008e-07   0.0050622506    0.094936949              
             52      5.6424817    2.00002e-07    8.00008e-07   0.0051595516    0.094839648              
             53      5.7535323    2.00002e-07    8.00008e-07   0.0052593526    0.094739847              
             54      5.8640403    2.00002e-07    8.00008e-07   0.0053622536    0.094636946              
             55      5.9750717              0    1.00001e-06   0.0054622546    0.094536745              
             56      6.0866243              0    1.00001e-06   0.0055646556    0.094434344              
             57      6.1979189    2.00002e-07    8.00008e-07   0.0056684567    0.094330743              
             58      6.3091853    2.00002e-07    8.00008e-07   0.0057675577    0.094231642              
             59      6.4199508              0    1.00001e-06   0.0058662587    0.094132741              
             60      6.5312943    2.00002e-07    8.00008e-07   0.0059594596     0.09403974              
             61       6.642424    2.00002e-07    8.00008e-07   0.0060590606    0.093940139              
             62      6.7536045              0    1.00001e-06   0.0061640616    0.093834938              
             63      6.8649856    2.00002e-07    8.00008e-07   0.0062602626    0.093738937              
             64      6.9764233              0    1.00001e-06   0.0063586636    0.093640336              
             65      7.0875366              0    1.00001e-06   0.0064561646    0.093542835              
             66      7.1992546    2.00002e-07    8.00008e-07   0.0065531655    0.093446034              
