### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "None",           0,        "A",   0.005,    1,      1 
"2",      "BL_HCP",         0.5,      "B",   0.01,     133,      0.3
"3",      "BL_BNN",         0.5,      "C",   0.02,     111,      0.11
"4",      "BL_MQ0",         0.5,      "D",   0.03,     43,      0.01
"5",      "BL_QBF",         0.5,      "E",   0.06,     228,      0.29
"6",      "BL_WU9",         0.5,      "F",   0.10,     129,      0.63
"7",      "BL_YTJ",         0.5,      "G",   0.20,     128,      0.06
"8",      "BL_ZHS",         0.5,      "H",   0.50,     171,      0.33
"9",      "BL_ZAP",         0.5,         ,       ,     217,      0.04
"10",     "BL_0LZ",         0.5,         ,       ,     50,      0.35
"11",     "BL_7L7",         0.5,         ,       ,     136,      0.7
"12",     "BL_UHY",         0.5,         ,       ,     121,      0.75
