### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme",        "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"1",      "None",           0,        "A",   0.005,    1,      1 
"2",      "BL_Q7J",         0.5,      "B",   0.01,     18,      0.4
"3",      "BL_73C",         0.5,      "C",   0.02,     22,      0.48
"4",      "BL_1RY",         0.5,      "D",   0.03,     115,      0.6
"5",      "BL_AXL",         0.5,      "E",   0.06,     24,      0.2
"6",      "BL_49C",         0.5,      "F",   0.10,     80,      0.65
"7",      "BL_NK8",         0.5,      "G",   0.20,     32,      0.29
"8",      "BL_I03",         0.5,      "H",   0.50,     230,      0.21
"9",      "BL_MO7",         0.5,         ,       ,     150,      0.69
"10",     "BL_W5Q",         0.5,         ,       ,     215,      0.43
"11",     "BL_3N7",         0.5,         ,       ,     122,      0.63
"12",     "BL_H60",         0.5,         ,       ,     158,      0.73











