### Plate Plan Setup File
### E_Conc is in nM
### S_Conc is in mM
### kcat is in s^-1
### KM is in mM
"Column", "Enzyme", "E_Conc", "Row", "S_Conc", "kcat",  "KM"
"PNPA control 1",      "None",    0,        "A",   0.005,    100,    0.05 
"PNPA control 2",      "None",    0,        "B",   0.01,     100,    0.05 
"PNPA control 3",      "None",    0,        "C",   0.02,     100,    0.05 
"wt1.0nM 1",      "wt1",     1.0,      "D",   0.03,     100,    0.05 
"wt1.0nM 2",      "wt1",     1.0,      "E",   0.06,     100,    0.05 
"wt1.0nM 3",      "wt1",     1.0,      "F",   0.10,     100,    0.05 
"wt0.5nM 1",      "wt1",     0.5,      "G",   0.20,     100,    0.05 
"wt0.5nM 2",      "wt1",     0.5,      "H",   0.50,     100,    0.05 
"wt0.5nM 3",      "wt1",     0.5,         ,       ,     100,    0.05  
"wt0.25nM 1",     "wt1",     0.25,        ,       ,     100,    0.05  
"wt0.25nM 2",     "wt1",     0.25,        ,       ,     100,    0.05  
"wt0.25nM 3",     "wt1",     0.25,        ,       ,     100,    0.05  
